Query	Taxid	Tax name	Authority	Rank	Basionym	Basionym authority	Curator common name	Has type material	Group name	Superkingdom name	Superkingdom taxid	Kingdom name	Kingdom taxid	Phylum name	Phylum taxid	Class name	Class taxid	Order name	Order taxid	Family name	Family taxid	Genus name	Genus taxid	Species name	Species taxid	Scientific name is formal
375960	375960	Desmodesmus sp. Tow8/18P-25W		SPECIES				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Chlorophyceae	3166	Sphaeropleales	35491	Scenedesmaceae	3086	Desmodesmus	91202	Desmodesmus sp. Tow8/18P-25W	375960	FALSE
375961	375961	Desmodesmus sp. Tow8/18T-25W		SPECIES				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Chlorophyceae	3166	Sphaeropleales	35491	Scenedesmaceae	3086	Desmodesmus	91202	Desmodesmus sp. Tow8/18T-25W	375961	FALSE
375962	375962	Desmodesmus sp. Tow6/16T-31W		SPECIES				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Chlorophyceae	3166	Sphaeropleales	35491	Scenedesmaceae	3086	Desmodesmus	91202	Desmodesmus sp. Tow6/16T-31W	375962	FALSE
375963	375963	Desmodesmus asymmetricus	(Schroed.) E.Hegewald	SPECIES				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Chlorophyceae	3166	Sphaeropleales	35491	Scenedesmaceae	3086	Desmodesmus	91202	Desmodesmus asymmetricus	375963	TRUE
375964	375964	Scenedesmus sp. NDem8/18T-11W		SPECIES				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Chlorophyceae	3166	Sphaeropleales	35491	Scenedesmaceae	3086	Scenedesmus	3087	Scenedesmus sp. NDem8/18T-11W	375964	FALSE
375965	375965	Desmodesmus sp. Mary6/3T-2d		SPECIES				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Chlorophyceae	3166	Sphaeropleales	35491	Scenedesmaceae	3086	Desmodesmus	91202	Desmodesmus sp. Mary6/3T-2d	375965	FALSE
375966	375966	Desmodesmus sp. Tow10/11T-2W		SPECIES				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Chlorophyceae	3166	Sphaeropleales	35491	Scenedesmaceae	3086	Desmodesmus	91202	Desmodesmus sp. Tow10/11T-2W	375966	FALSE
375967	375967	Desmodesmus sp. Tow6/16T-17W		SPECIES				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Chlorophyceae	3166	Sphaeropleales	35491	Scenedesmaceae	3086	Desmodesmus	91202	Desmodesmus sp. Tow6/16T-17W	375967	FALSE
375968	375968	Desmodesmus sp. Tow8/18T-10W		SPECIES				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Chlorophyceae	3166	Sphaeropleales	35491	Scenedesmaceae	3086	Desmodesmus	91202	Desmodesmus sp. Tow8/18T-10W	375968	FALSE
375969	375969	Desmodesmus sp. Tow10/11T-12W		SPECIES				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Chlorophyceae	3166	Sphaeropleales	35491	Scenedesmaceae	3086	Desmodesmus	91202	Desmodesmus sp. Tow10/11T-12W	375969	FALSE
375973	375973	Desmodesmus sp. Tow6/16T-9W		SPECIES				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Chlorophyceae	3166	Sphaeropleales	35491	Scenedesmaceae	3086	Desmodesmus	91202	Desmodesmus sp. Tow6/16T-9W	375973	FALSE
375974	375974	Desmodesmus sp. Tow6/16T-15W		SPECIES				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Chlorophyceae	3166	Sphaeropleales	35491	Scenedesmaceae	3086	Desmodesmus	91202	Desmodesmus sp. Tow6/16T-15W	375974	FALSE
375975	375975	Desmodesmus sp. Tow10/11T-8W		SPECIES				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Chlorophyceae	3166	Sphaeropleales	35491	Scenedesmaceae	3086	Desmodesmus	91202	Desmodesmus sp. Tow10/11T-8W	375975	FALSE
375976	375976	Desmodesmus cuneatus	(Skab.) E.Hegewald	SPECIES				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Chlorophyceae	3166	Sphaeropleales	35491	Scenedesmaceae	3086	Desmodesmus	91202	Desmodesmus cuneatus	375976	TRUE
375977	375977	Scenedesmus sp. Mary9/21T-16W		SPECIES				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Chlorophyceae	3166	Sphaeropleales	35491	Scenedesmaceae	3086	Scenedesmus	3087	Scenedesmus sp. Mary9/21T-16W	375977	FALSE
375978	375978	Scenedesmus sp. Mary9/21BT-19W		SPECIES				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Chlorophyceae	3166	Sphaeropleales	35491	Scenedesmaceae	3086	Scenedesmus	3087	Scenedesmus sp. Mary9/21BT-19W	375978	FALSE
375979	375979	Scenedesmus sp. Pic6/16T-1W		SPECIES				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Chlorophyceae	3166	Sphaeropleales	35491	Scenedesmaceae	3086	Scenedesmus	3087	Scenedesmus sp. Pic6/16T-1W	375979	FALSE
375980	375980	Coelastrum sp. Tow6/3P-9W		SPECIES				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Chlorophyceae	3166	Sphaeropleales	35491	Scenedesmaceae	3086	Coelastrum	55408	Coelastrum sp. Tow6/3P-9W	375980	FALSE
375983	375983	Desmodesmus sp. Tow10/11T-6W		SPECIES				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Chlorophyceae	3166	Sphaeropleales	35491	Scenedesmaceae	3086	Desmodesmus	91202	Desmodesmus sp. Tow10/11T-6W	375983	FALSE
375984	375984	Desmodesmus sp. Itas2/24S-1d		SPECIES				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Chlorophyceae	3166	Sphaeropleales	35491	Scenedesmaceae	3086	Desmodesmus	91202	Desmodesmus sp. Itas2/24S-1d	375984	FALSE
